Symbol,Pattern Type,Status,Watchlist Category,Left Shoulder Date,Left Shoulder Price,Head Date,Head Price,Right Shoulder Date,Right Shoulder Price,RS Confirmation,RS Age (days),Is Stale,Neckline Price,Breakout Date,Breakout Price,Volume Confirmed,Breakout Volume Ratio,Target,Stop Loss,Risk:Reward,Target Hit,Quality Score,Trigger Condition,Notes
SCI,H&S,Forming,Watching - Confirmed RS,2026-04-17,322.8,2026-05-11,368.75,2026-06-05,324.0,Confirmed,10,No,284.1,,,No,,,,,No,87.4,"Confirms if daily close goes below 284.10 with volume >= 10,142,647 shares (~1.5x 20-day avg)",Neckline not yet broken
AFCONS,Inverse H&S,Forming,Watching - Confirmed RS,2026-04-24,311.45,2026-05-19,289.8,2026-06-08,309.15,Confirmed,9,No,350.77,,,No,,,,,No,64.1,"Confirms if daily close goes above 350.77 with volume >= 3,229,176 shares (~1.5x 20-day avg)",Neckline not yet broken
BBTC,H&S,Forming,"Stale - Confirmed RS (overdue, 18d since RS)",2026-04-23,1559.7,2026-05-08,1610.8,2026-05-25,1552.0,Confirmed,18,Yes,1467.55,,,No,,,,,No,62.7,"Confirms if daily close goes below 1467.55 with volume >= 53,103 shares (~1.5x 20-day avg)",Neckline not yet broken
AFFLE,H&S,Forming,Watching - Confirmed RS,2026-04-17,1519.8,2026-05-11,1686.0,2026-05-26,1544.0,Confirmed,17,No,1402.7,,,No,,,,,No,36.5,"Confirms if daily close goes below 1402.70 with volume >= 358,971 shares (~1.5x 20-day avg)",Neckline not yet broken
